,AUC,Prec@5%,Lift@5%,Prec@10%,Lift@10%,Prec@20%,Lift@20%,best_iter,n_train_fit,n_val,n_features
4a_full_year_val2025,0.5397831119775801,0.0,0.0,0.06451612903225806,0.6941045606229143,0.12903225806451613,1.3882091212458285,744.0,827.0,1409.0,71.0
4b_full_year_val2024,0.4900085293042525,0.06666666666666667,0.7172413793103448,0.0967741935483871,1.0411568409343714,0.08064516129032258,0.8676307007786429,854.0,1409.0,827.0,71.0
4c_seasonal_val2025,0.5529426099671012,0.3333333333333333,3.5862068965517238,0.1935483870967742,2.082313681868743,0.12903225806451613,1.3882091212458285,311.0,159.0,324.0,59.0
4d_seasonal_val2024,0.5326550505665895,0.06666666666666667,0.7172413793103448,0.0967741935483871,1.0411568409343714,0.11290322580645161,1.2146829810901,523.0,324.0,159.0,59.0
