Model,AUC v3,AUC v4,AUC v5,AUC v6,Best Δ v3,Lift@10 v6,Prec@10 v6
LightGBM,0.375,0.645,0.446,0.563,+0.269,1.041,0.097
Random Forest,0.407,0.543,0.401,0.528,+0.136,1.041,0.097
XGBoost,0.459,0.524,0.408,0.528,+0.070,1.041,0.097
SVM (RBF),0.493,0.467,0.409,0.420,-0.026,1.041,0.097
Logistic Regression,0.671,0.446,0.398,0.372,-0.225,0.694,0.065
