Model,AUC v3,AUC v4,ΔAUC,Prec@5 v3,Prec@5 v4,Prec@10 v3,Prec@10 v4,Lift@10 v3,Lift@10 v4
LightGBM,0.375,0.645,+0.269,0.067,0.067,0.129,0.161,1.388,1.735
Random Forest,0.407,0.543,+0.136,0.067,0.067,0.032,0.032,0.347,0.347
XGBoost,0.459,0.524,+0.066,0.133,0.133,0.097,0.097,1.041,1.041
SVM (RBF),0.493,0.467,-0.026,0.133,0.000,0.065,0.032,0.694,0.347
Logistic Regression,0.671,0.446,-0.225,0.133,0.000,0.161,0.000,1.735,0.000
