Model,DerAUC v3,DerAUC v4,DerAUC v5,DerAUC v6,RMSE v6,R² v6
LightGBM (Reg),0.596,0.648,0.493,0.635,0.648,-0.230
XGBoost (Reg),0.562,0.625,0.474,0.634,0.656,-0.263
Random Forest (Reg),0.602,0.579,0.434,0.573,0.631,-0.169
Poly Ridge (deg=2),0.573,0.473,0.398,0.516,0.881,-1.279
Ridge Regression,0.682,0.399,0.415,0.372,0.743,-0.620
Linear Regression,0.637,0.335,0.429,0.340,0.791,-0.836
