,AUC,Prec@5%,Lift@5%,Prec@10%,Lift@10%,Prec@20%,Lift@20%
LR weather-only,0.5579383453149751,0.13333333333333333,1.4344827586206896,0.22580645161290322,2.4293659621802,0.16129032258064516,1.7352614015572858
LR farm-only,0.6662605093213111,0.2,2.1517241379310343,0.12903225806451613,1.3882091212458285,0.12903225806451613,1.3882091212458285
LR rank-product,0.6841720482514927,0.06666666666666667,0.7172413793103448,0.12903225806451613,1.3882091212458285,0.1774193548387097,1.9087875417130145
Ridge weather-only,0.6398196661386621,0.2,2.1517241379310343,0.22580645161290322,2.4293659621802,0.12903225806451613,1.3882091212458285
Ridge farm-only,0.5710978433044962,0.06666666666666667,0.7172413793103448,0.0967741935483871,1.0411568409343714,0.1774193548387097,1.9087875417130145
Ridge rank-product,0.6814914097721457,0.2,2.1517241379310343,0.12903225806451613,1.3882091212458285,0.16129032258064516,1.7352614015572858
