Model,RMSE v3,RMSE v4,R² v3,R² v4,DerAUC v3,DerAUC v4,ΔDerAUC
LightGBM (Reg),0.621,0.619,-0.130,-0.123,0.596,0.648,+0.052
XGBoost (Reg),0.630,0.624,-0.163,-0.141,0.562,0.625,+0.064
Random Forest (Reg),0.619,0.629,-0.123,-0.161,0.602,0.579,-0.023
Poly Ridge (deg=2),0.799,0.953,-0.871,-1.666,0.573,0.473,-0.100
Ridge Regression,0.576,0.753,0.026,-0.665,0.682,0.399,-0.283
Linear Regression,0.576,0.798,0.026,-0.870,0.637,0.335,-0.302
