temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,dewpoint_2m_mean,pressure_msl_mean,cloudcover_mean,date,temperature_2m_mean_7d_avg,temperature_2m_mean_3d_avg,windspeed_10m_max_7d_avg,windspeed_10m_max_3d_avg,relative_humidity_2m_mean_7d_avg,relative_humidity_2m_mean_3d_avg,precipitation_sum_7d_avg,precipitation_sum_3d_avg,shortwave_radiation_sum_7d_avg,shortwave_radiation_sum_3d_avg,cloudcover_mean_7d_avg,cloudcover_mean_3d_avg,dewpoint_2m_mean_7d_avg,dewpoint_2m_mean_3d_avg,pressure_msl_mean_7d_avg,pressure_msl_mean_3d_avg,temp_range,humidity_range
32.8,22.1,26.3,35.8,26.2,29.9,0.0,0.0,13.3,25.9,100,16.72,3.7,98,41,76,21.0,1014.4,28,2024-01-13,25.8,26.400000000000002,16.057142857142857,15.133333333333331,70.0,72.66666666666667,0.0,0.0,16.131428571428568,16.706666666666667,42.714285714285715,29.333333333333332,19.17142857142857,20.366666666666664,1014.7571428571428,1014.5,10.699999999999996,57
32.2,22.2,26.1,36.3,26.3,30.0,0.3,0.3,17.8,32.8,126,16.02,3.49,97,44,79,21.5,1013.8,32,2024-01-14,25.985714285714288,26.2,16.271428571428572,16.266666666666666,71.71428571428571,76.66666666666667,0.04285714285714286,0.09999999999999999,16.147142857142857,16.476666666666663,42.142857142857146,26.333333333333332,19.74285714285714,21.13333333333333,1014.6,1014.2333333333332,10.000000000000004,53
29.5,22.4,25.4,32.7,26.4,28.7,1.2,1.2,15.3,31.0,151,14.36,3.32,98,56,79,21.1,1013.5,53,2024-01-15,26.04285714285714,25.933333333333334,16.3,15.466666666666663,73.28571428571429,78.0,0.21428571428571427,0.5,16.455714285714286,15.699999999999998,40.285714285714285,37.666666666666664,20.171428571428574,21.200000000000003,1014.342857142857,1013.9,7.100000000000001,42
31.0,22.0,25.6,33.3,26.1,28.5,0.6,0.6,13.8,31.0,154,16.48,3.8,95,47,75,20.4,1012.3,83,2024-01-16,25.985714285714288,25.700000000000003,15.971428571428573,15.633333333333333,74.71428571428571,77.66666666666667,0.3,0.7000000000000001,16.360000000000003,15.62,45.285714285714285,56.0,20.5,21.0,1013.9285714285714,1013.1999999999999,9.0,48
30.5,20.4,25.1,31.8,23.4,27.1,0.0,0.0,16.2,34.6,134,17.92,4.28,98,42,72,19.0,1012.4,81,2024-01-17,25.914285714285715,25.366666666666664,15.5,15.1,74.71428571428571,75.33333333333333,0.3,0.6,16.414285714285715,16.253333333333334,48.142857142857146,72.33333333333333,20.442857142857143,20.166666666666668,1013.6428571428571,1012.7333333333332,10.100000000000001,56
30.2,20.0,24.5,32.1,22.3,26.4,0.0,0.0,14.0,32.0,126,18.85,4.29,93,45,72,18.5,1013.1,22,2024-01-18,25.6,25.066666666666666,15.442857142857141,14.666666666666664,75.42857142857143,73.0,0.3,0.19999999999999998,16.720000000000002,17.75,45.42857142857143,62.0,20.342857142857145,19.299999999999997,1013.4285714285714,1012.6,10.2,48
33.0,20.1,25.2,34.7,22.4,27.3,0.0,0.0,20.1,41.0,114,18.26,4.31,94,34,72,19.0,1013.2,25,2024-01-19,25.457142857142856,24.933333333333334,15.785714285714288,16.766666666666666,75.0,72.0,0.3,0.0,16.944285714285716,18.343333333333334,46.285714285714285,42.666666666666664,20.071428571428573,18.833333333333332,1013.2428571428571,1012.9,12.899999999999999,60
31.0,21.0,25.3,32.4,23.1,27.4,0.0,0.0,15.0,34.2,114,17.74,4.17,95,45,73,19.5,1014.5,21,2024-01-20,25.314285714285717,25.0,16.02857142857143,16.366666666666664,74.57142857142857,72.33333333333333,0.3,0.0,17.09,18.28333333333333,45.285714285714285,22.666666666666668,19.857142857142858,19.0,1013.2571428571429,1013.6,10.0,50
30.9,21.4,25.5,33.1,24.1,28.1,0.0,0.0,14.4,33.1,132,17.37,4.03,95,46,75,20.1,1014.2,16,2024-01-21,25.228571428571428,25.333333333333332,15.542857142857143,16.499999999999996,74.0,73.33333333333333,0.2571428571428571,0.0,17.282857142857143,17.790000000000003,43.0,20.666666666666668,19.657142857142855,19.533333333333335,1013.3142857142857,1013.9666666666667,9.5,49
31.3,21.3,25.7,33.2,24.9,28.4,0.0,0.0,14.8,32.8,135,15.94,3.85,98,44,76,20.5,1015.0,57,2024-01-22,25.271428571428572,25.5,15.471428571428573,14.733333333333333,73.57142857142857,74.66666666666667,0.08571428571428572,0.0,17.50857142857143,17.016666666666666,43.57142857142857,31.333333333333332,19.571428571428573,20.033333333333335,1013.5285714285714,1014.5666666666666,10.0,54
31.0,22.1,26.0,32.7,25.0,28.6,0.3,0.3,18.4,37.8,132,17.04,4.06,94,48,75,20.7,1014.5,44,2024-01-23,25.328571428571426,25.733333333333334,16.128571428571426,15.866666666666665,73.57142857142857,75.33333333333333,0.04285714285714286,0.09999999999999999,17.58857142857143,16.783333333333335,38.0,39.0,19.614285714285717,20.433333333333334,1013.842857142857,1014.5666666666666,8.899999999999999,46
