,RMSE,MAE,R²,Derived AUC,Derived F1
Ridge Regression,0.5762392289017079,0.372828015594348,0.025943832449636828,0.6819787985865724,0.0
Linear Regression,0.5762998098328245,0.36963141939007244,0.025739013587967707,0.6366516388448885,0.0
XGBoost (Reg),0.6086643251653001,0.4082450087253864,-0.08676102539274688,0.6461557207262093,0.18181818181818182
Random Forest (Reg),0.6186939999223442,0.40009438638046374,-0.1228717814980691,0.6018642622151821,0.0
LightGBM (Reg),0.6207839544733667,0.41889054210321613,-0.1304707388646147,0.5961983672474716,0.2127659574468085
Poly Ridge (deg=2),0.7985287086994,0.5529614106477632,-0.8705073900254221,0.5725600097477763,0.136986301369863
