,AUC,F1,Prec@5%,Prec@10%,Prec@20%,Lift@5%,Lift@10%,Lift@20%
Logistic Regression,0.6707688558547581,0.25870646766169153,0.13333333333333333,0.16129032258064516,0.12903225806451613,1.4344827586206896,1.7352614015572858,1.3882091212458285
SVM (RBF),0.49311563299622274,0.14746543778801843,0.13333333333333333,0.06451612903225806,0.08064516129032258,1.4344827586206896,0.6941045606229143,0.8676307007786429
XGBoost,0.4453515291824052,0.15384615384615385,0.2,0.12903225806451613,0.06451612903225806,2.1517241379310343,1.3882091212458285,0.6941045606229143
Random Forest,0.4070915072499086,0.09230769230769231,0.06666666666666667,0.03225806451612903,0.04838709677419355,0.7172413793103448,0.34705228031145713,0.5205784204671857
LightGBM,0.3753503107103693,0.13008130081300814,0.06666666666666667,0.12903225806451613,0.11290322580645161,0.7172413793103448,1.3882091212458285,1.2146829810901
